,N,d,algo,mem
626,50000,3,nmoo,10065.7265625
627,50000,3,pymoo,11298.53515625
628,50000,3,nmoo,10064.2265625
629,50000,3,pymoo,11282.78515625
630,50000,3,nmoo,10066.4765625
631,50000,3,pymoo,11325.64453125
632,50000,3,nmoo,10064.98046875
633,50000,3,pymoo,11299.328125
634,50000,3,nmoo,10067.23046875
635,50000,3,pymoo,11308.5859375
636,50000,3,nmoo,10065.73046875
637,50000,3,pymoo,11300.14453125
638,50000,3,nmoo,10067.98046875
639,50000,3,pymoo,11305.80078125
640,50000,4,nmoo,10066.48046875
641,50000,4,pymoo,10562.71875
642,50000,4,nmoo,10068.73046875
643,50000,4,pymoo,10567.15625
644,50000,4,nmoo,10067.23046875
645,50000,4,pymoo,10549.4375
646,50000,4,nmoo,10069.48046875
647,50000,4,pymoo,10564.65234375
648,50000,4,nmoo,10067.98046875
649,50000,4,pymoo,10572.5859375
650,50000,4,nmoo,10070.23046875
651,50000,4,pymoo,10570.6171875
652,50000,4,nmoo,10068.73046875
653,50000,4,pymoo,10565.71484375
654,50000,4,nmoo,10070.98046875
655,50000,4,pymoo,10561.36328125
656,50000,4,nmoo,10069.48046875
657,50000,4,pymoo,10573.09375
658,50000,4,nmoo,10071.73046875
659,50000,4,pymoo,10566.671875
660,50000,5,nmoo,10070.23046875
661,50000,5,pymoo,10189.95703125
662,50000,5,nmoo,10072.48046875
663,50000,5,pymoo,10191.5546875
664,50000,5,nmoo,10070.98046875
665,50000,5,pymoo,10191.07421875
666,50000,5,nmoo,10073.23046875
667,50000,5,pymoo,10194.49609375
668,50000,5,nmoo,10071.73046875
669,50000,5,pymoo,10196.11328125
670,50000,5,nmoo,10073.98046875
671,50000,5,pymoo,10198.5625
672,50000,5,nmoo,10072.48046875
673,50000,5,pymoo,10204.6796875
674,50000,5,nmoo,10074.73046875
675,50000,5,pymoo,10197.9609375
676,50000,5,nmoo,10073.23046875
677,50000,5,pymoo,10197.0
678,50000,5,nmoo,10075.48046875
679,50000,5,pymoo,10206.28125
680,50000,6,nmoo,10073.98046875
681,50000,6,pymoo,10073.98046875
682,50000,6,nmoo,10076.234375
683,50000,6,pymoo,10076.28125
684,50000,6,nmoo,10074.734375
685,50000,6,pymoo,10074.78125
686,50000,6,nmoo,10076.984375
687,50000,6,pymoo,10077.03125
688,50000,6,nmoo,10075.484375
689,50000,6,pymoo,10075.53125
690,50000,6,nmoo,10077.734375
691,50000,6,pymoo,10077.78125
692,50000,6,nmoo,10076.234375
693,50000,6,pymoo,10076.28125
694,50000,6,nmoo,10078.48828125
695,50000,6,pymoo,10078.53125
696,50000,6,nmoo,10076.98828125
697,50000,6,pymoo,10077.03125
698,50000,6,nmoo,10079.23828125
699,50000,6,pymoo,10079.28125
700,50000,7,nmoo,10077.73828125
701,50000,7,pymoo,10077.78125
702,50000,7,nmoo,10079.98828125
703,50000,7,pymoo,10080.03125
704,50000,7,nmoo,10078.48828125
705,50000,7,pymoo,10078.53125
706,50000,7,nmoo,10080.73828125
707,50000,7,pymoo,10080.78125
708,50000,7,nmoo,10079.23828125
709,50000,7,pymoo,10079.28125
710,50000,7,nmoo,10081.23828125
711,50000,7,pymoo,10081.28125
712,50000,7,nmoo,10079.98828125
713,50000,7,pymoo,10080.03125
714,50000,7,nmoo,10081.73828125
715,50000,7,pymoo,10081.78125
716,50000,7,nmoo,10080.73828125
717,50000,7,pymoo,10080.78125
718,50000,7,nmoo,10082.23828125
719,50000,7,pymoo,10082.28125
720,100000,2,nmoo,10162.0625
721,100000,2,pymoo,50282.21875
722,100000,2,nmoo,38710.609375
723,100000,2,pymoo,50304.11328125
724,100000,2,nmoo,39262.98828125
725,100000,2,pymoo,50387.8046875
726,100000,2,nmoo,39158.95703125
727,100000,2,pymoo,50397.94140625
