,N,d,algorithm,memory,time
41,100,3,fast_non_dominated_sort,121.328125,0.0008933544158935547
42,100,3,nmoo,121.328125,0.0007805824279785156
43,100,3,efficient_non_dominated_sort,121.328125,0.0006771087646484375
44,100,3,fast_non_dominated_sort,121.328125,0.0009605884552001953
45,100,3,nmoo,121.328125,0.0006356239318847656
46,100,3,efficient_non_dominated_sort,121.328125,0.0005662441253662109
47,100,3,fast_non_dominated_sort,121.328125,0.0009260177612304688
48,100,3,nmoo,121.328125,0.0013909339904785156
49,100,3,efficient_non_dominated_sort,121.328125,0.0006144046783447266
50,100,3,fast_non_dominated_sort,121.328125,0.0009639263153076172
51,100,3,nmoo,121.328125,0.0008804798126220703
52,100,3,efficient_non_dominated_sort,121.328125,0.0005137920379638672
53,100,3,fast_non_dominated_sort,121.328125,0.0010714530944824219
54,100,3,nmoo,121.328125,0.0005571842193603516
55,100,3,efficient_non_dominated_sort,121.328125,0.0005340576171875
56,100,3,fast_non_dominated_sort,121.328125,0.0009062290191650391
57,100,3,nmoo,121.328125,0.0007691383361816406
58,100,3,efficient_non_dominated_sort,121.328125,0.0006170272827148438
59,100,3,fast_non_dominated_sort,121.33203125,0.0010306835174560547
60,100,4,nmoo,121.33203125,0.0017616748809814453
61,100,4,efficient_non_dominated_sort,121.33203125,0.0005755424499511719
62,100,4,fast_non_dominated_sort,121.33203125,0.0009567737579345703
63,100,4,nmoo,121.33203125,0.0012836456298828125
64,100,4,efficient_non_dominated_sort,121.33203125,0.0006268024444580078
65,100,4,fast_non_dominated_sort,121.33203125,0.000888824462890625
66,100,4,nmoo,121.33203125,0.0025255680084228516
67,100,4,efficient_non_dominated_sort,121.33203125,0.0005304813385009766
68,100,4,fast_non_dominated_sort,121.33203125,0.0008792877197265625
69,100,4,nmoo,121.33203125,0.0012955665588378906
70,100,4,efficient_non_dominated_sort,121.3359375,0.0005667209625244141
71,100,4,fast_non_dominated_sort,121.3359375,0.0010519027709960938
72,100,4,nmoo,121.3359375,0.0015249252319335938
73,100,4,efficient_non_dominated_sort,121.3359375,0.0006988048553466797
74,100,4,fast_non_dominated_sort,121.3359375,0.0009272098541259766
75,100,4,nmoo,121.3359375,0.0016388893127441406
76,100,4,efficient_non_dominated_sort,121.3359375,0.0005719661712646484
77,100,4,fast_non_dominated_sort,121.3359375,0.0008785724639892578
78,100,4,nmoo,121.3359375,0.0010809898376464844
79,100,4,efficient_non_dominated_sort,121.3359375,0.0005373954772949219
80,100,4,fast_non_dominated_sort,121.3359375,0.0008893013000488281
81,100,4,nmoo,121.3359375,0.0016543865203857422
82,100,4,efficient_non_dominated_sort,121.3359375,0.0005660057067871094
83,100,4,fast_non_dominated_sort,121.3359375,0.001056671142578125
84,100,4,nmoo,121.33984375,0.0033791065216064453
85,100,4,efficient_non_dominated_sort,121.33984375,0.0005648136138916016
